Date,Account Name,Low,Medium,High
March2021,Staging,159,170,17,346
March2021,Shared Services,90,122,0,212
March2021,Quality Assurance,132,164,0,296
March2021,,84,94,0,178
March2021,PROD,16,18,0,34
March2021,QA,16,18,0,34
March2021,Prod Security Account,36,40,0,76
March2021,Data Science,15,2,14,31
March2021,DEV,16,18,0,34
March2021,Sandbox,92,81,0,173
March2021,Prod,68,74,0,142
March2021,Proof-of-Concept,25,40,0,65
March2021,Dev,16,18,0,34
